Culture,Focal_Year,PBM_Data,Source,Source_Coverage_Years,Sub_Group,Full_Pinpoint information,Page_Nums,HRAF_Sources,SCCS_Sources,DPlace_Sources,Source_URL,My_Comments,
!Kung,1950,,,,"!Kung (Ju/wasi) of Nyae Nyae Region, Namibia","!Kung of the Nyae region (20-21°E, 19°30'-20°30's), presumably identical with the Agau of Schapera, as of 1950 (the first year of the field work by the Marshalls). (White 2009, p. 4)",5597,,,,,,
!Kung,,1,"Asch, Timothy & Patsy Asch 1986. Images that Represent Ideas: The Use of Films on the !Kung to Teach Anthropology. In: Megan Biesele, Robert Gordon & Richard Lee (Eds.), The Past and Future of !Kung Ethnography, pp. 327-358. Hamburg: Helmut Buske Verlag.",1950s-1970s (total coverage)],"!Kung, Nyae Nyae region, Namibia",,31,0,2,0,https://drive.google.com/file/d/1DhAaIgNm0aC6qNJkRix1-e9ZpcM496Id/view?usp=share_link,,
!Kung,,0,"Bakeman, Roger., Adamson, Lauren. B., Konner, Melvin., & Barr, Ronald. G. 1990. ! Kung infancy: The social context of object exploration. Child Development, 61(3), 794-809","1969-1971, 1975 (field dates)","Dobe !Kung, Botswana",,19,0,0,0,https://www.melvinkonner.com/wp-content/uploads/2009/05/Bakeman-et-al-Kung-Object-Exploration-Child-Dev-1997.pdf,"Same author, same group, same time period",
!Kung,,0,"Barr, R.G., Konner, M., Bakeman, R., and Adamson, L.B. 1991. Crying in !Kung San infants: A Test of the Cultural Specificity Hypothesis. Developmental Medicine and Child Neurology 33:601-610.","1969-1971, 1975 (field dates)","Dobe !Kung, Botswana",,10,0,0,0,https://www.melvinkonner.com/wp-content/uploads/2009/05/Barr-Crying-Cult-Specificity.pdf,"Same author, same group, same time period",
!Kung,,1,"Biesele, Megan, and S. Barclay. 2001. “Ju/’hoan Women’s Tracking Knowledge and Its Contribution to Their Husbands’ Hunting Success.” In African Study Monographs. Ary Issue, 67–84. [Kyoto, Japan]: Research Committee for African Area Studies, Kyoto University.",1970-1995 (total coverage),"Nyae Nyae area, northeastern Namibia",,17,processed_nocode,0,0,https://ehrafworldcultures.yale.edu/document?id=fx10-068.,"Same author, same group, same time period",
!Kung,,0,"Biesele, Megan. 1972. Hunting in Semi-Arid Areas-The Kalahari Bushmen Today. In: Special Edition; Proceedings of a Conference on Sustained Production from Semi-Arid areas (pg. 62-68). Gabarone: Botswana Society.",1970-1972 (field dates);,"Dobe !Kung, Botswana",,6,0,2,0,https://drive.google.com/file/d/1liGSjUAt0-EM_S5actdI2RlkNQFmLW2Y/view?usp=drive_link,,
!Kung,,1,"Biesele, Megan. 1972a. The Black-Backed Jackal and the Brown Hyena a! Kung Bushman Folktale. Botswana Notes & Records, 4(1), 133-134.",1970-1972 (field dates);,"Dobe !Kung, Botswana",,2,0,0,0,https://www.jstor.org/stable/40979321,"Same author, same group, same time period",
!Kung,,0,"Biesele, Megan. 1972b. Oral Expressive Forms, Creativity, and"" Mental Community"" among the¡ Kung Bushmen. Botswana Notes and Records, 284-286.",1970-1972 (field dates);,"Dobe !Kung, Botswana",,3,0,0,0,https://www.jstor.org/stable/40979346,"Same author, same group, same time period",
!Kung,,0,"Biesele, Megan. 1975. Song texts by the Master of Tricks: Kalahari San thumb piano music. Botswana Notes & Records, 7(1), 171-188.",1970-1972 (field dates);,"Dobe !Kung, Botswana",,17,0,0,0,https://www.jstor.org/stable/40979439,"Same author, same group, same time period",
!Kung,,1,"Biesele, Megan. 1978. Religion and folklore. In: The Bushmen: San hunters and herders of Southern Africa (pp. 162-172). Cape Town and Pretoria: Human & Rousseau.",1970-1972 (field dates);,"Dobe !Kung, Botswana",,10,processed_nocode,0,0,https://ehrafworldcultures.yale.edu/document?id=fx10-063.,,
